number of bedrooms,number of bathrooms,lot area,number of floors,waterfront present,condition of the house,grade of the house,Built Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price,House_Age,Total_Area
3,1,5000,1.5,0,4,7,1927,122007,52.909,-114.563,1500,5000,3,60,470000,98,1500
3,1,9087,1.0,0,5,7,1969,122053,52.7534,-114.367,1250,11826,1,72,339900,56,1200
3,1,1716,1.0,0,3,7,1978,122024,52.5937,-114.247,1900,9528,3,66,314500,47,1700
4,1,8499,1.0,0,3,7,1949,122014,52.966,-114.491,1370,8187,3,52,300000,76,1370
3,1,8128,1.0,0,3,6,1983,122055,52.9725,-114.171,1520,7500,2,74,234000,42,1040
2,1,3376,2.0,0,3,8,1980,122024,52.6033,-114.247,1470,3623,3,78,230000,45,1910
3,2,54014,2.0,0,4,9,1964,122049,52.8782,-114.349,3280,50690,3,63,835000,61,2120
2,1,3400,1.0,0,4,7,1924,122003,52.8703,-114.562,2000,4000,3,62,530000,101,840
4,2,15540,1.0,0,4,8,1974,122035,52.6145,-114.342,2840,17136,3,60,402000,51,2950
3,3,1275,2.0,0,3,8,2007,122054,52.8204,-114.505,1360,1275,2,58,397000,18,1360
3,2,15005,1.0,0,4,7,1986,122041,52.9186,-114.101,1610,15479,3,58,345000,39,1610
5,2,6222,1.0,0,3,7,1991,122051,52.7572,-114.466,2130,6222,3,73,325000,34,2130
3,1,7650,1.0,0,5,7,1957,122053,52.7222,-114.368,1230,7650,1,70,265000,68,1800
4,3,7965,2.0,0,3,10,2013,122048,52.8589,-114.395,2190,8557,3,74,2070000,12,4350
5,4,8050,2.5,0,4,11,1914,122054,52.8089,-114.476,4470,9194,3,78,1930000,111,4830
5,3,26540,2.0,0,3,10,2008,122057,52.7965,-114.4,3360,17398,2,55,1730000,17,5000
5,3,11250,2.0,0,3,10,2007,122057,52.8085,-114.415,2160,9249,2,61,1510000,18,4390
4,2,12215,1.0,1,3,9,1956,122031,52.6696,-114.543,2960,19964,1,55,1310000,69,2680
3,1,14630,1.5,0,3,8,1948,122048,52.8374,-114.403,2850,15803,1,56,1230000,77,2200
4,2,3360,2.0,0,3,9,1905,122047,52.8527,-114.5,2090,3600,1,72,1200000,120,2120
3,3,5001,2.0,0,3,10,1989,122044,52.8335,-114.475,2500,6286,2,60,1170000,36,3790
4,2,9143,2.0,0,4,10,1995,122010,52.9121,-114.38,2390,9143,1,71,1100000,30,3330
4,1,6300,1.0,0,5,8,1937,122032,52.8757,-114.602,3290,6300,1,67,972000,88,2010
4,3,8589,2.0,0,3,10,2007,122010,52.9275,-114.385,2470,9019,2,79,963000,18,3530
4,2,7680,2.5,0,3,10,2007,122011,52.7701,-114.183,3130,6112,2,69,950000,18,3670
2,2,2067,2.0,0,5,9,1974,122048,52.8432,-114.4,2320,2067,1,78,935000,51,1780
5,2,16100,1.0,0,4,8,1960,122057,52.758,-114.414,2760,16988,2,55,896000,65,2520
4,2,5265,3.0,0,3,8,2014,122005,52.9347,-114.303,3220,4892,1,53,882566,11,3560
4,2,4392,1.5,0,4,9,1931,122004,52.9013,-114.466,2310,5795,1,51,880000,94,3220
4,1,3245,1.5,0,4,8,1929,122028,52.8905,-114.521,1800,4275,3,75,875000,96,1800
3,2,2387,2.0,0,3,8,1920,122003,52.8615,-114.552,1870,2216,2,80,850000,105,2650
4,2,7048,2.0,0,3,9,2005,122045,52.9111,-114.215,3920,7864,1,54,780000,20,3500
5,3,5700,1.0,0,3,7,1964,122028,52.8921,-114.52,1730,5529,2,72,765000,61,2870
4,2,165528,2.0,0,3,8,1984,122037,52.9957,-114.218,3030,144696,3,70,760000,41,3300
4,2,4046,1.5,0,4,7,1940,122007,52.9182,-114.572,1410,4046,2,70,669500,85,2500
3,2,4007,2.0,0,3,8,2005,122033,52.9577,-114.397,2340,4167,2,52,635000,20,3350
3,2,29185,1.0,0,3,7,1949,122027,52.7921,-114.358,2580,11600,3,62,570000,76,1890
3,2,15002,1.5,0,3,8,1955,122014,52.9935,-114.464,2070,15002,2,67,560000,70,2070
3,2,9600,1.0,0,4,7,1967,122005,52.8881,-114.316,1720,9600,2,64,550000,58,1720
4,1,128502,1.0,0,2,7,1958,122042,52.6645,-114.388,1470,11514,3,51,550000,67,2750
3,2,1613,2.0,0,3,8,2007,122007,52.9081,-114.565,1460,1403,1,57,544000,18,1460
3,1,6300,1.0,0,3,7,1925,122032,52.8805,-114.574,1560,1601,1,63,535000,100,1580
4,2,15086,2.0,0,3,8,1981,122019,52.877,-114.254,2100,10927,3,51,530000,44,1980
3,2,4506,2.0,0,3,8,2003,122058,52.9653,-114.412,2600,4658,3,55,515000,22,2600
4,3,15048,3.0,0,3,7,1979,122015,52.7416,-114.334,2020,15180,3,62,500000,46,3720
4,1,9786,1.0,0,3,8,1967,122050,53.0053,-114.555,2310,8787,3,59,492650,58,2120
3,2,10733,1.0,0,3,7,1958,122006,52.9271,-114.471,1740,8100,3,58,491950,67,2090
3,2,4322,2.0,0,3,7,1985,122011,52.7972,-114.208,1610,4322,2,79,491500,40,1470
4,3,3497,2.0,0,3,9,2003,122059,52.784,-114.498,2330,5242,1,74,490000,22,2330
4,3,9664,2.0,0,3,8,1981,122058,52.9949,-114.443,2380,9609,2,52,480000,44,2440
3,1,8666,2.0,0,4,6,1948,122010,52.9193,-114.357,2290,8200,3,79,461000,77,3600
3,2,1330,2.0,0,3,8,2008,122007,52.9204,-114.56,1360,3750,2,57,457000,17,1220
4,2,6031,2.0,0,3,9,2005,122024,52.5896,-114.23,2570,5012,2,67,449000,20,2960
4,2,39446,1.0,0,3,8,1977,122014,53.0065,-114.466,2140,12043,2,68,445800,48,2070
2,1,3400,1.0,0,3,7,1919,122006,52.9026,-114.51,1410,3150,2,55,441000,106,1190
3,2,7904,1.0,0,3,8,2006,122053,52.719,-114.371,1950,7800,2,50,439000,19,3180
4,2,11173,2.0,0,4,8,1988,122046,52.6614,-114.354,2290,10404,3,59,436500,37,2290
4,2,3840,1.0,0,3,7,1904,122054,52.8229,-114.493,1670,1820,2,66,435000,121,1880
2,2,934,3.0,0,3,8,2008,122061,52.8641,-114.532,1090,1376,1,80,427500,17,1090
2,1,4980,1.0,0,3,8,2006,122045,52.9491,-114.213,1350,4157,2,72,419000,19,1510
1,1,5750,1.0,0,3,7,1911,122016,52.7711,-114.582,1230,5750,3,66,410000,114,1010
5,3,6589,1.5,0,3,7,1906,122051,52.7657,-114.463,1560,5647,2,51,408000,119,2820
2,1,5750,1.0,0,4,7,1947,122009,52.7937,-114.585,1100,5750,3,58,406500,78,870
4,2,7859,2.0,0,3,8,1992,122024,52.6036,-114.235,2150,7284,2,73,397500,33,2570
3,1,7030,1.0,0,3,7,1968,122033,52.951,-114.369,1450,7650,2,75,385000,57,1300
4,2,6998,2.0,0,3,8,2001,122070,52.6994,-114.453,2350,10550,2,61,383962,24,2700
3,1,7341,1.0,0,3,7,1982,122014,52.9667,-114.485,1160,7573,1,60,370000,43,1320
4,2,10316,2.0,0,3,8,1993,122039,52.5837,-114.464,1920,11337,3,68,359500,32,2140
3,2,1524,3.0,0,3,8,2005,122028,52.9282,-114.537,1370,1418,1,61,355000,20,1370
3,1,8855,1.0,0,4,7,1958,122014,52.9989,-114.518,1250,8855,2,75,349810,67,960
2,1,5750,1.0,0,4,6,1932,122064,52.7818,-114.56,1650,8625,3,71,345000,93,970
4,2,5000,2.0,0,3,7,2006,122024,52.5893,-114.227,2910,5000,2,66,345000,19,2280
4,2,5970,2.0,0,4,7,2002,122035,52.6045,-114.321,1970,4919,2,63,337000,23,2230
4,2,11784,2.0,0,3,9,1997,122035,52.614,-114.339,2250,10760,1,68,330000,28,2340
3,2,7200,2.0,0,3,8,1990,122067,52.6351,-114.383,1960,7201,2,65,327500,35,2310
3,1,8800,1.0,0,4,7,1954,122051,52.7783,-114.468,1400,4095,2,69,308000,71,1010
2,1,8153,1.0,0,3,6,1947,122014,52.9641,-114.49,1160,8199,1,74,300000,78,960
3,2,8584,1.5,0,5,7,1937,122060,52.6912,-114.515,2160,8584,2,55,289950,88,1760
4,2,8734,2.0,0,4,7,1991,122065,52.5979,-114.369,1870,7212,1,62,285000,34,1830
2,2,10856,1.0,0,3,8,1952,122063,52.7289,-114.455,1250,10008,2,56,265000,73,1860
4,2,60548,1.0,0,3,6,1960,122039,52.5018,-114.455,1930,28800,2,69,263400,65,1360
3,1,8100,2.0,0,3,7,1985,122024,52.5917,-114.236,1560,8100,1,65,263000,40,1410
2,1,9967,1.0,0,3,6,1919,122059,52.7993,-114.486,1970,7587,1,67,255000,106,1320
3,2,5000,1.0,0,3,7,1965,122043,52.6002,-114.507,1390,7830,1,55,250000,60,1440
3,1,9400,1.0,0,4,7,1954,122027,52.8046,-114.326,1260,9400,1,65,248000,71,950
3,2,14197,1.0,0,3,7,1996,122065,52.5952,-114.373,1550,7596,2,58,245000,29,1300
2,1,1758,2.0,0,3,7,1990,122058,52.9827,-114.434,1078,1315,1,56,243000,35,1068
2,1,28800,1.0,0,1,6,1928,122008,52.7545,-114.012,1360,7200,1,51,235000,97,900
2,1,24792,2.0,0,2,7,1976,122045,52.8637,-114.151,2150,24792,3,79,170000,49,1200
2,1,7623,1.0,0,2,6,1942,122031,52.697,-114.539,1300,7641,3,74,100000,83,930
5,5,42840,1.0,0,4,13,1978,122048,52.8529,-114.41,5070,20570,2,75,3800000,47,7050
3,2,17450,1.0,1,3,9,1930,122057,52.7658,-114.403,3530,17310,3,69,2370000,95,3530
4,4,9778,2.0,0,4,11,1928,122003,52.8612,-114.556,3970,8460,3,63,2300000,97,3970
4,2,10900,2.0,0,5,9,1924,122054,52.8149,-114.48,3000,5000,1,54,1700000,101,3770
3,3,5445,2.0,0,4,10,1913,122061,52.8706,-114.537,2950,5250,3,65,1640000,112,3140
4,2,12750,1.5,0,4,7,1918,122048,52.8435,-114.403,1980,15300,2,66,1570000,107,2970
4,3,5800,2.0,0,5,10,1937,122032,52.8774,-114.601,3100,5800,2,51,1360000,88,4270
6,2,5432,2.0,0,5,9,1900,122028,52.8995,-114.527,1540,4969,3,66,1300000,125,2630
4,3,3850,2.5,0,3,10,2008,122047,52.8558,-114.492,2030,4000,1,67,1200000,17,3400
4,2,10422,2.0,0,3,10,1996,122010,52.8815,-114.387,1770,9490,2,60,1150000,29,3340
5,3,4000,2.0,0,4,8,1997,122004,52.8945,-114.481,1620,4000,1,50,1110000,28,3350
3,2,7216,2.0,0,3,8,1967,122051,52.7745,-114.456,2490,9920,1,79,1080000,58,3890
4,2,16015,2.0,0,3,11,1990,122019,52.8546,-114.257,4490,17668,1,52,1060000,35,4570
4,3,8501,2.0,0,3,10,2008,122010,52.9044,-114.386,1520,9660,3,62,1020000,17,3770
3,1,12855,1.5,0,5,6,1920,122048,52.8469,-114.402,2190,11262,1,57,1010000,105,1640
4,1,5080,1.5,0,3,8,1914,122003,52.8727,-114.553,1900,5080,1,64,955500,111,2130
4,1,5055,2.0,0,4,10,1910,122047,52.866,-114.491,1970,4431,1,59,952500,115,2550
5,5,12637,2.0,0,3,11,2001,122008,52.7724,-114.062,3840,12637,3,52,925000,24,5190
4,3,10666,2.0,0,3,9,2005,122045,52.9118,-114.213,3920,8154,1,67,920000,20,4080
5,3,8279,2.0,0,3,9,2001,122019,52.8339,-114.249,3570,8279,1,77,875000,24,3840
4,3,112750,1.0,0,3,9,2006,122012,52.7735,-114.156,2180,223027,1,62,850000,19,4350
4,2,6637,2.0,0,3,9,2003,122045,52.9135,-114.235,3500,7074,1,79,825000,22,3990
3,2,9750,2.0,0,3,10,1989,122027,52.7875,-114.309,2920,11090,3,59,820000,36,2880
4,2,8866,2.0,0,4,9,1987,122030,52.8904,-114.336,2630,8847,3,62,808000,38,2500
3,3,221284,2.0,0,3,10,1993,122037,52.9941,-114.213,2920,148539,2,66,800000,32,3830
5,2,5029,2.0,0,3,8,2004,122020,52.8073,-114.246,2990,6441,3,59,739900,21,3290
2,2,4920,1.5,0,4,7,1941,122009,52.803,-114.599,2130,4920,2,69,730000,84,2130
4,2,12866,1.0,0,4,9,1977,122049,52.8688,-114.357,2840,13209,3,52,729032,48,2840
3,1,6000,2.0,0,4,8,1959,122054,52.8281,-114.478,3030,7119,1,60,725000,66,1860
3,2,4094,2.0,0,3,9,2002,122005,52.8927,-114.276,2095,4442,2,67,712000,23,2375
3,2,51354,2.0,0,3,9,1998,122037,52.9511,-114.218,2620,37042,2,80,695000,27,2620
3,2,4080,1.5,0,5,7,1922,122028,52.9113,-114.536,1550,3060,3,69,695000,103,2500
4,2,7200,2.0,0,3,7,1962,122006,52.9244,-114.464,1790,6175,3,54,691500,63,2600
3,2,28500,1.0,0,3,9,1983,122005,52.9618,-114.328,3070,32400,3,53,660000,42,2570
4,2,46748,2.0,0,3,10,2004,122062,52.5732,-114.215,3350,39683,1,57,650000,21,3350
2,2,965,3.0,0,3,9,2007,122044,52.8481,-114.508,1410,964,2,74,640000,18,1540
3,2,1984,2.0,0,3,8,2008,122012,52.7705,-114.217,2150,1984,3,57,629800,17,2390
4,3,6325,1.0,0,5,7,1948,122009,52.7983,-114.586,1240,6325,2,74,620000,77,2130
4,1,5846,1.0,0,3,8,1957,122032,52.8839,-114.598,1480,5177,3,61,616000,68,1700
2,2,14878,2.0,0,3,10,1990,122017,52.9825,-114.395,3080,13594,1,76,600000,35,2510
5,2,7781,1.0,0,3,9,1960,122022,52.9348,-114.469,2310,7781,1,50,600000,65,2980
2,1,2002,1.5,0,3,6,1900,122047,52.8488,-114.496,1190,1208,1,53,600000,125,910
4,2,20011,2.0,0,3,8,1987,122020,52.8142,-114.235,2710,33915,1,80,595000,38,1820
3,2,6413,1.0,0,4,7,1947,122006,52.9126,-114.488,1330,6050,3,54,590000,78,1410
4,1,2566,1.5,0,3,7,1921,122044,52.8483,-114.49,1220,2314,1,56,581000,104,1630
3,2,11000,2.0,0,3,9,1978,122029,52.8216,-114.302,2200,12851,2,74,580000,47,2200
4,2,8483,2.0,0,3,9,1991,122017,52.968,-114.411,2660,8717,1,79,570000,34,2590
4,1,3376,1.5,0,5,7,1911,122026,52.8906,-114.555,1040,3600,3,53,563000,114,1410
4,2,11005,2.0,0,3,9,1994,122053,52.7618,-114.366,2590,14754,1,78,548000,31,2440
3,2,3210,1.5,0,5,7,1928,122007,52.9213,-114.583,1330,4410,3,73,545000,97,1530
3,1,9580,1.0,0,3,8,1984,122019,52.8512,-114.228,1740,11952,3,75,540000,41,2050
4,2,10140,1.0,0,4,7,1968,122005,52.9122,-114.301,1840,9375,2,69,540000,57,2180
4,1,5000,1.5,0,4,7,1945,122007,52.9071,-114.587,1490,5000,2,78,535000,80,1420
3,2,39478,2.0,0,4,9,1989,122068,52.4713,-114.162,2700,38312,1,54,530000,36,3660
2,2,1458,2.0,0,3,8,2012,122003,52.8684,-114.563,1650,2311,2,79,525000,13,1160
3,2,7200,2.0,0,3,8,1994,122058,52.9672,-114.413,1970,7202,3,78,515000,31,2010
2,1,5000,1.0,0,5,7,1907,122026,52.8999,-114.559,1340,5000,1,74,515000,118,1050
3,1,7020,2.0,0,3,7,1934,122062,52.5564,-114.228,1170,9546,2,50,510000,91,1750
3,1,9594,1.0,0,3,8,1977,122005,52.8917,-114.327,1930,9765,1,56,507500,48,1990
4,2,9778,1.0,0,4,8,1962,122027,52.7772,-114.366,2140,11321,2,63,505000,63,2200
3,2,45613,2.0,0,4,8,1983,122021,52.9823,-114.307,2320,43005,3,67,502000,42,1600
2,1,4500,1.0,0,3,7,1926,122028,52.8862,-114.544,1670,4000,3,61,500000,99,950
5,3,12087,2.0,0,3,8,1975,122012,52.7636,-114.242,2410,10350,1,65,500000,50,3130
4,2,6334,2.0,0,3,8,2013,122025,52.7126,-113.961,2790,6352,2,72,499990,12,2910
3,2,47916,2.0,0,3,8,1991,122045,52.8647,-114.148,2150,24000,1,73,485000,34,2440
4,1,4096,2.0,0,3,7,1900,122044,52.834,-114.496,1640,3377,3,67,485000,125,1430
3,2,21485,2.0,0,3,7,1989,122019,52.8498,-114.243,1680,21485,2,75,482000,36,1710
3,2,3896,2.0,0,3,8,1994,122011,52.7989,-114.196,1780,3999,1,51,478000,31,1640
4,3,6885,1.0,0,3,7,1945,122006,52.9063,-114.472,2180,6885,2,70,476000,80,2890
3,2,1053,2.0,0,3,8,2008,122026,52.9054,-114.564,1410,1080,1,56,460000,17,1450
2,1,3825,1.0,0,3,7,1929,122007,52.9105,-114.57,1370,4998,1,61,459500,96,1250
3,1,9012,1.0,0,4,7,1966,122005,52.8863,-114.321,1800,8679,3,78,452000,59,1110
3,1,13775,1.0,0,3,8,1963,122058,52.9713,-114.449,2200,10450,2,75,450000,62,1400
4,2,42077,2.0,0,3,8,1994,122035,52.5724,-114.267,2280,36236,2,56,445000,31,2280
3,2,13446,2.0,0,3,9,1993,122055,52.9645,-114.151,2450,13446,1,70,435000,32,2530
4,1,5053,1.0,0,4,7,1963,122051,52.7799,-114.464,1450,5639,1,73,433000,62,1550
4,2,6087,2.0,0,3,7,2001,122053,52.7425,-114.382,1770,5907,3,69,431000,24,2300
3,1,19163,1.0,0,3,7,1964,122005,52.8986,-114.343,1590,9744,1,68,425000,61,1300
3,2,5689,2.0,0,3,7,2009,122008,52.7458,-114.063,2190,5653,2,66,425000,16,1950
4,2,5048,2.0,0,3,8,2014,122024,52.5859,-114.253,2530,4359,2,58,417838,11,2530
4,1,8475,1.5,0,4,7,1928,122063,52.7404,-114.444,1700,5650,2,76,406000,97,1580
2,1,2280,1.0,0,5,6,1946,122026,52.8888,-114.552,1310,4200,3,61,402500,79,800
3,2,11172,1.0,0,3,7,1984,122019,52.8664,-114.227,1330,14102,3,52,401000,41,1240
4,2,4500,2.0,0,3,9,2014,122023,52.4886,-114.384,2570,4800,1,63,399895,11,2701
5,2,32481,1.5,0,3,8,1958,122043,52.6265,-114.504,2040,11398,1,56,392000,67,3740
3,1,9000,1.0,0,4,7,1967,122012,52.7553,-114.233,1750,10878,1,73,382500,58,1040
3,1,35150,1.0,0,4,7,1977,122035,52.6213,-114.311,2460,36386,3,66,375000,48,2530
2,1,6050,1.0,0,3,7,1952,122009,52.7997,-114.59,1130,6050,2,77,370000,73,860
3,3,5100,2.0,0,3,8,2004,122024,52.58,-114.195,2080,5100,2,50,357500,21,2080
3,2,3600,1.0,0,3,7,1963,122044,52.8399,-114.487,1660,3600,1,59,349500,62,1270
2,1,7775,1.0,0,3,6,1955,122016,52.7747,-114.584,1730,7350,1,61,345000,70,1080
3,2,941,3.0,0,3,8,2006,122038,52.9445,-114.546,1490,1399,1,61,337000,19,1460
2,2,1029,2.0,0,3,8,2007,122044,52.8318,-114.489,1350,3600,1,79,332888,18,1050
3,2,11312,1.0,0,3,7,1959,122052,52.7351,-114.534,1390,10700,3,74,330000,66,1680
4,1,8976,1.0,0,5,7,1978,122046,52.6586,-114.369,2220,9477,1,59,328950,47,2550
4,2,9601,2.0,0,3,7,2003,122024,52.5841,-114.205,1830,5892,2,77,321000,22,1830
3,2,13303,1.0,0,3,8,1993,122040,52.4981,-114.5,2180,11590,3,67,314500,32,2050
3,1,6000,1.5,0,3,7,1927,122025,52.7263,-113.977,1210,7700,1,78,307000,98,1150
3,2,5128,2.0,0,3,7,2001,122055,52.9662,-114.157,1680,4652,2,65,300000,24,1660
3,2,9620,1.0,0,3,8,1987,122018,52.5041,-114.527,2150,9660,2,74,300000,38,2090
4,2,3826,2.0,0,3,8,2006,122023,52.5558,-114.355,2516,4500,2,53,300000,19,2303
3,1,10710,1.0,0,4,7,1962,122053,52.73,-114.359,1090,10440,3,72,280000,63,1090
1,0,1801,1.0,0,5,5,1923,122007,52.9078,-114.579,1340,5000,2,61,276000,102,370
4,2,6600,2.0,0,3,7,1987,122065,52.5791,-114.358,1970,7682,1,63,274900,38,1970
2,1,7906,1.0,0,4,6,1948,122014,52.996,-114.51,990,7906,3,53,260000,77,770
3,2,9680,1.0,0,4,7,1961,122067,52.642,-114.385,1500,9516,3,76,260000,64,1920
3,2,4072,1.5,0,5,6,1907,122051,52.7576,-114.464,1680,5850,3,66,245000,118,1190
3,2,7000,1.0,0,3,7,1986,122039,52.5621,-114.451,1510,10462,1,79,241000,39,1770
3,1,9310,1.0,0,4,7,1967,122035,52.5965,-114.297,1610,10640,1,63,219950,58,1620
3,1,9546,1.0,0,4,7,1984,122040,52.5479,-114.521,1660,8550,3,54,217500,41,1400
3,1,8239,1.0,0,3,7,1981,122035,52.5979,-114.278,1180,7866,2,80,205000,44,1170
1,1,833,1.0,0,4,7,1926,122044,52.8382,-114.489,780,1617,2,72,202000,99,590
2,1,13531,1.0,0,3,6,1979,122039,52.4916,-114.441,1767,8308,2,75,174000,46,900
3,1,8514,1.0,0,3,7,1959,122068,52.4343,-114.198,1210,8985,1,53,165050,66,1200
2,1,4320,1.0,0,3,5,1937,122034,52.744,-114.549,780,7424,1,62,102500,88,820
5,6,21738,2.0,0,3,11,2001,122027,52.7975,-114.379,4160,18969,3,63,3300000,24,8020
4,2,18362,2.0,0,4,11,1983,122048,52.8644,-114.404,4080,19991,2,54,2290000,42,4080
4,3,18916,1.0,0,4,9,1954,122071,52.8455,-114.428,3000,18831,3,63,2270000,71,4040
3,3,5500,2.0,0,5,10,1909,122013,52.8765,-114.509,2980,5500,3,73,2150000,116,4660
2,2,9400,2.0,0,5,10,1985,122027,52.7917,-114.348,3760,9450,1,60,1410000,40,3180
4,1,21600,1.0,0,4,8,1966,122048,52.8545,-114.417,2920,20330,3,50,1300000,59,2610
3,2,8400,1.0,0,3,10,1970,122006,52.9248,-114.476,1550,6300,2,80,1080000,55,3280
4,3,3979,2.0,0,3,9,2014,122032,52.8782,-114.598,3350,4165,1,68,1050000,11,3390
4,1,13296,1.0,0,4,8,1967,122048,52.864,-114.394,3520,10802,3,65,1040000,58,1440
6,4,4800,3.0,0,3,9,1919,122003,52.8704,-114.551,1990,4800,3,53,989000,106,3830
3,4,62726,2.0,0,3,10,2013,122045,52.9035,-114.248,2630,46609,2,76,915000,12,3850
4,2,5950,1.0,0,3,8,1947,122061,52.869,-114.537,2600,5593,2,77,895000,78,1950
4,1,3720,1.5,0,4,7,1924,122061,52.8731,-114.546,2090,4095,1,52,860000,101,1880
5,3,9792,2.0,0,3,9,1984,122027,52.7954,-114.305,2960,16500,1,73,851000,41,3760
3,3,7410,2.0,0,5,8,1977,122007,52.9237,-114.582,2390,7800,3,57,811000,48,2470
4,2,7798,2.0,0,3,9,2005,122027,52.7756,-114.319,3300,30950,1,75,795000,20,2890
2,1,175421,1.5,0,4,7,1906,122003,52.8666,-114.553,2140,3600,2,69,782000,119,1570
2,1,4000,1.0,0,3,8,1933,122061,52.8709,-114.543,1980,4000,1,50,736000,92,1500
3,3,6517,2.5,0,4,8,1977,122064,52.8002,-114.57,2010,6073,3,54,732000,48,2670
4,2,4748,1.5,0,3,8,1928,122009,52.8204,-114.579,2430,4748,1,65,723000,97,2430
4,3,12327,1.5,0,4,10,1990,122017,52.9833,-114.395,3170,12937,1,77,720000,35,3550
3,2,23891,2.0,0,3,9,1993,122045,52.9016,-114.219,2900,34705,1,63,700000,32,2490
3,1,4000,2.0,0,3,8,1922,122013,52.8701,-114.51,1760,4000,2,64,690000,103,1760
5,2,10300,1.0,0,3,8,1985,122027,52.7761,-114.341,2310,10300,1,57,675000,40,2900
5,2,5500,1.5,0,5,7,1918,122054,52.8085,-114.483,2200,5000,2,67,660500,107,2950
4,2,10800,1.0,0,4,7,1951,122057,52.8059,-114.413,2090,10800,1,69,659000,74,2090
3,1,11472,1.0,0,4,7,1956,122050,52.9357,-114.564,2270,8340,1,54,645000,69,2270
4,2,9880,1.0,0,4,8,1979,122010,52.9226,-114.376,2190,9198,2,62,630000,46,2190
3,3,1641,3.0,0,3,8,2006,122003,52.8782,-114.548,1720,1501,2,70,625000,19,1820
3,2,12134,1.0,0,4,8,1973,122005,52.8615,-114.292,2320,12400,1,52,605000,52,2080
4,2,48788,1.0,0,5,7,1961,122058,52.9722,-114.435,2470,14900,2,66,605000,64,2940
5,2,9072,1.0,0,5,7,1965,122005,52.8996,-114.339,1660,8327,3,51,600000,60,2190
4,3,3080,2.0,0,3,8,2008,122005,52.9049,-114.33,2060,3295,1,50,599950,17,2500
3,2,3960,1.5,0,3,8,1905,122044,52.8422,-114.488,1310,3960,1,79,580000,120,1900
3,1,8625,1.0,0,5,8,1974,122012,52.7616,-114.246,2620,14275,3,66,575000,51,2680
4,2,4800,1.5,0,3,7,1922,122028,52.8856,-114.535,1660,4800,2,61,575000,103,1660
3,2,2502,2.0,0,3,8,2006,122012,52.7664,-114.263,2280,2812,1,78,567500,19,2280
3,2,9900,1.0,0,3,9,1978,122030,52.8431,-114.341,2730,9900,3,56,552000,47,1840
4,2,5005,1.0,0,3,7,1987,122006,52.9271,-114.492,1770,5326,2,52,550000,38,2160
3,2,7200,1.5,0,4,7,1923,122051,52.7901,-114.455,1630,5760,2,55,545000,102,1340
3,2,1800,2.0,0,3,7,1994,122044,52.8381,-114.479,2010,4500,2,68,540000,31,1320
3,1,12141,1.0,0,3,7,1983,122021,52.9907,-114.336,1850,12141,2,67,535000,42,2330
2,1,3503,1.0,0,4,7,1916,122003,52.8668,-114.561,1280,1531,3,69,525000,109,1530
3,1,1210,2.0,0,3,10,2008,122032,52.8888,-114.593,1460,1206,1,60,520000,17,1490
5,2,13054,1.0,0,3,8,1950,122031,52.6787,-114.542,2570,19807,1,55,519000,75,2570
3,1,3000,1.0,0,3,7,1920,122007,52.9069,-114.55,1420,4200,2,55,512031,105,1540
2,1,9260,1.0,0,3,7,1946,122026,52.8995,-114.55,1230,6913,2,53,496000,79,900
3,3,10375,2.0,0,3,9,1982,122070,52.6586,-114.481,2130,9132,2,58,489000,43,3700
4,2,1870,2.0,0,3,8,2014,122011,52.7824,-114.189,1540,1619,2,60,484998,11,1540
3,2,5511,2.0,0,3,8,1987,122010,52.9246,-114.375,1620,5511,2,78,481015,38,1550
3,2,10052,1.0,0,4,8,1956,122022,52.956,-114.506,1480,9780,3,63,480000,69,1470
5,2,7737,2.0,0,3,7,1998,122008,52.7681,-114.062,2460,7737,1,67,480000,27,2160
4,2,7260,2.0,0,4,7,1963,122038,52.9699,-114.522,2040,7360,1,62,475000,62,2040
4,2,5444,2.0,0,5,7,1981,122033,52.9527,-114.35,1540,5000,2,54,475000,44,1850
4,2,13468,1.0,0,5,7,1962,122022,52.9439,-114.482,1470,8675,2,79,475000,63,2100
4,2,6178,2.0,0,3,8,2013,122025,52.7123,-113.961,2790,6538,3,50,475000,12,2620
3,2,15050,1.0,0,3,7,1983,122033,52.9503,-114.384,1660,7320,1,58,453000,42,1660
3,2,7984,2.0,0,3,8,1993,122017,52.9733,-114.384,2650,9352,1,62,435000,32,1900
3,1,9030,1.0,0,3,7,1956,122030,52.817,-114.324,1470,8712,2,71,415000,69,1520
4,2,76665,2.0,0,4,8,1978,122039,52.5131,-114.469,2110,19334,1,50,411000,47,2370
4,2,6042,2.0,0,3,8,2004,122042,52.6531,-114.376,2566,6390,2,68,394500,21,3002
4,1,7700,1.5,0,4,7,1927,122038,52.9425,-114.522,1530,7700,1,75,389000,98,2400
3,1,7416,1.5,0,3,7,1954,122038,52.99,-114.539,1390,6490,1,56,355000,71,1730
5,2,6994,2.0,0,3,8,2002,122065,52.5872,-114.382,1940,6035,3,50,345000,23,2450
4,2,4805,2.0,0,3,8,2005,122042,52.6597,-114.38,1714,3259,1,50,340000,20,1954
3,2,34041,1.0,0,3,8,1984,122035,52.5846,-114.271,2460,35686,1,77,339950,41,2390
2,1,1858,2.0,0,3,7,2005,122054,52.8128,-114.504,1480,3030,3,62,334500,20,830
